"Timestamp","MAC address","Bar code number","Building location","Make","Model","Model #","Serial Number","Building","Asset Category ID","Employee name","Comments"
,,,"kitchen","Apple","iMac",,"G822930QMB6","Ames","desktop",,
1/4/2013 9:06:01,,,"TECH","IBM","THINKCENTRE","S51","LKPHR3X","Ames","Desktop",,
1/2/2013 13:26:20,,,"Tech","Dell","GX280",,"D7Z8P61","BAHS","Desktop","NA",
1/2/2013 13:57:59,,,"Tech","DELL","GX270",,"H89D641","BAHS","Desktop",,
1/2/2013 13:59:23,,,"TECH","DELL","GX280",,"GCG9P61","BAHS","Desktop",,
1/2/2013 13:59:48,,,"TECH","DELL","GX280",,"F0Z8P61","BAHS","Desktop",,
1/2/2013 14:01:43,,,"TECH","DELL","GX270",,"9FG9P61","BAHS","Desktop",,
1/2/2013 14:02:56,,,"TECH","DELL","GX280",,"JRJ9P61","BAHS","Desktop",,
1/2/2013 14:03:38,,,"TECH","DELL","GX280",,"5ZX9P61","BAHS","Desktop",,
1/4/2013 8:47:35,,,"TECH","DELL","GX280",,"7BZ8P61","BAHS","Desktop",,
1/4/2013 8:48:38,,,"TECH","DELL","GX280",,"FWJ9P61","BAHS","Desktop",,
1/4/2013 8:49:01,,,"TECH","DELL","GX280",,"2F0BP61","BAHS","Desktop",,
1/4/2013 8:49:55,,,"TECH","DELL","GX280",,"5PZ8P61","BAHS","Desktop",,
1/4/2013 8:50:25,,,"TECH","DELL","GX280",,"J0Z8P61","BAHS","Desktop",,
1/4/2013 8:50:53,,,"TECH","DELL","GX270",,"98DL641","BAHS","Desktop",,
1/4/2013 8:51:13,,,"TECH","DELL","GX270",,"HXBL641","BAHS","Desktop",,
1/4/2013 8:53:25,,,"TECH","DELL","GX280",,"4FZ8P61","BAHS","Desktop",,
1/4/2013 8:55:45,,,"TECH","DELL","GX270",,"BWBL641","BAHS","Desktop",,
1/4/2013 8:56:11,,,"TECH","DELL","GX270",,"864D641","BAHS","Desktop",,
1/4/2013 8:56:34,,,"TECH","DELL","GX280",,"CYCL641","BAHS","Desktop",,
1/4/2013 8:56:57,,,"TECH","DELL","GX270",,"5JRL641","BAHS","Desktop",,
1/4/2013 8:57:27,,,"TECH","DELL","GX270",,"626C641","BAHS","Desktop",,
1/4/2013 8:57:50,,,"TECH","DELL","GX270",,"D74D641","BAHS","Desktop",,
1/4/2013 8:58:12,,,"TECH","DELL","GX270",,"9B4D641","BAHS","Desktop",,
1/4/2013 8:59:45,,,"TECH","DELL","GX270",,"B6SL641","BAHS","Desktop",,
1/4/2013 9:00:06,,,"TECH","DELL","GX270",,"9MQC641","BAHS","Desktop",,
1/4/2013 9:00:30,,,"TECH","DELL","GX270",,"29D9641","BAHS","Desktop",,
1/4/2013 9:01:25,,,"TECH","DELL","GX270",,"9KLRL641","BAHS","Desktop",,
1/4/2013 9:01:45,,,"TECH","DELL","GX270",,"69DL641","BAHS","Desktop",,
1/4/2013 9:02:16,,,"TECH","DELL","GX270",,"3T6C641","BAHS","Desktop",,
