Computer	Bus Clock Speed	CPU Speed	Serial Number	Machine Model	Memory	Processor Count	Kernel Version	System Version	Free Disk Space	Total Disk Space	Trash Size	AirPort Active	AirPort Hardware Address	AirPort Installed	Modem Installed	Modem Model	Primary IP Address	Primary Network Hardware Address	Primary Network	Monitor Depth	Monitor Type	Monitor Resolution	Computer Info #1	Computer Info #2	Computer Info #3	Computer Info #4	Date Collected
CaptainAl	167 MHz	1.33 GHz	XB32602AN9A	Xserve	1 GB	1	–	–	14.03 GB	74.28 GB	347.3 MB	–	–	–	–	–	–	–	–	millions of colors	CRT	1024 x 768					8/16/13 12:00 AM
dparks	667 MHz	1.83 GHz	YM7380FYYL1	Mac mini	2 GB	2	Darwin 9.8.0	Mac OS X 10.5.8 (9L31a)	60.20 GB	74.21 GB	2.1 MB	No	00:1C:B3:B0:B1:2E	Yes	No	–	–	–	PPP (PPPSerial)	millions of colors	–	1280 x 960	Admin Asst.		Mac Mini		9/20/13 9:42 AM
kjenness	667 MHz	1.5 GHz	G86331VQU35	Mac mini	2 GB	1	Darwin 9.8.0	Mac OS X 10.5.8 (9L31a)	97.59 GB	148.73 GB	443.4 MB	No	00:17:F2:46:C7:23	Yes	No	–	–	–	PPP (PPPSerial)	millions of colors	–	1280 x 1024	–	–	–	–	9/20/13 9:48 AM
Lab 20	667 MHz	1.83 GHz	W881404B289	iMac	1 GB	2	Darwin 9.8.0	Mac OS X 10.5.8 (9L31a)	121.66 GB	148.73 GB	139.5 MB	Yes	00:17:F2:3B:11:8C	Yes	No	–	–	–	PPP (PPPSerial)	millions of colors	LCD	1440 x 900	–	–	–	–	9/20/13 9:48 AM
reddwarf	–	–	–	PowerMac	1.5 GB	1	–	–	62.11 GB	94.05 GB	0 KB	–	–	–	–	–	–	–	–	millions of colors	–	1680 x 1050	–	–	–	–	9/20/13 12:00 AM
RSU20 Mac (155)	167 MHz	1 GHz	G84211K7QJ7	eMac	256 MB	1	Darwin 8.11.0	Mac OS X 10.4.11 (8S165)	23.87 GB	37.15 GB	0 KB	–	–	No	No	–	–	–	PPP (PPPSerial)	millions of colors	CRT	1024 x 768					9/20/13 9:48 AM
RussellClassroom4	167 MHz	1.42 GHz	YM61700YSCG	eMac	512 MB	1	Darwin 8.11.0	Mac OS X 10.4.11 (8S165)	61.29 GB	74.41 GB	384 KB	–	–	No	Yes	Jump (V.92)  Version 1.0	–	–	PPP (PPPSerial)	millions of colors	CRT	1024 x 768					9/20/13 9:48 AM
tbirocco_intel	1.07 GHz	2.4 GHz	45050KD2F5W	MacBook	2 GB	2	Darwin 10.8.0	Mac OS X 10.6.8 (10K549)	205.29 GB	232.57 GB	752.8 MB	Yes	C8:BC:C8:F0:E9:F3	Yes	No	–	–	–	PPP (PPPSerial)	millions of colors	LCD	1280 x 800					9/20/13 9:42 AM
tech’s eMac	167 MHz	1.42 GHz	YM61700NSCG	eMac	1 GB	1	Darwin 9.8.0	Mac OS X 10.5.8 (9L31a)	17.82 GB	74.41 GB	0 KB	–	–	No	Yes	Jump (V.92)  Version 1.0	–	–	PPP (PPPSerial)	millions of colors	CRT	1024 x 768	–	–	–	–	9/20/13 9:42 AM
W8007LRP8PW	1.07 GHz	2.26 GHz	W8007LRP8PW	MacBook	2 GB	2	Darwin 10.8.0	Mac OS X 10.6.8 (10K549)	218.61 GB	232.57 GB	0 KB	Yes	34:15:9E:98:66:42	Yes	No	–	–	–	PPP (PPPSerial)	millions of colors	LCD	1280 x 800					9/20/13 9:56 AM
