"CASS, Belfast",223,"Stearns-Koski","101950B5E2428U","","AccelScan 2110","Serial #","","yes"
"CASS, Belfast","Planets","","101950B5E2483U","","AccelScan 2110","Serial #","","yes"
"CASS, Belfast",216,"Jacquie Kahn","101950B5E2312U","","AccelScan 2110","Serial #","","yes"
"CASS, Belfast","City ","",72722,"","AccelScan 2110","none","","yes"
"CASS, Belfast","Planets","","SA0828B10640","","Amer.com SD5, 5 port switch","Serial #","","yes"
"CASS, Belfast","City ","","SA0519A41660","","Amer.com SD5, 5 port switch","Serial #","","yes"
"CASS, Belfast","Offices","Philbrick","SA0828B10625","","Amer.com SD5, 5 port switch","Serial #","","yes"
"CASS, Belfast","Library","","S50651B10520","","Amer.com SD8n, 8 port switch","Serial #","","yes"
"CASS, Belfast",227,"IT","SR60651B10213","","Amer.com SR24, 24 port switch","Serial #","","yes"
"CASS, Belfast",227,"IT","SR60412A40021","","Amer.com SR24, 24 port switch","Serial #","","yes"
"CASS, Belfast",227,"IT","SR60412A40025","","Amer.com SR24, 24 port switch","Serial #","","yes"
"CASS, Belfast",227,"IT","SR60412A40022","","Amer.com SR24, 24 port switch","Serial #","","yes"
"CASS, Belfast",227,"IT","SR60409A31732","","Amer.com SR24, 24 port switch","Serial #","","yes"
"CASS, Belfast",227,"IT","Covered by Switch1","","Amer.com SR24, 24 port switch","Serial #","","yes"
"CASS, Belfast",227,"IT","Covered by Switch2","","Amer.com SR24, 24 port switch","Serial #","","yes"
"CASS, Belfast",227,"IT","Covered by Switch3","","Amer.com SR24, 24 port switch","Serial #","","yes"
"CASS, Belfast",227,"IT","SR60651B10211","","Amer.com SR24, 24 port switch","Serial #","spare","yes"
"CASS, Belfast","Offices","Kay Jenness","G86331VQU35","0016CBA2B435","MacMini1.5GHz,1GB (512orig)","Serial #","","yes"
"CASS, Belfast","Offices","Donna Parks","YM7380FYYL1","0016CBAC44B2","MacMini1.83GHz,1GB","Serial #","OSX10.5.7","yes"
"CASS, Belfast","Library","","JS56A25LB001782","","NetGear JFS516, 16 port Switch","Serial #","","yes"
"CASS, Belfast",227,"Tech Room","XB03305PJW4","0030657E7360","Server, G4, 500MHz, 256MB","Serial #","",
