School/Who has it,serial #,mac address,date of purchase,PO #,account number,notes
BAHS,dr6hqaskdfhw,84:29:99:ca:f0:7b,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,on loan BAHS - P.Lynam
BAHS,dr6hqhmzdfhw,84:29:99:cb:fd:cb,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,
BAHS,dr6hqehwdfhw,84:29:99:cc:1d:b,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,
BAHS,dr6hqe6hdfhw,84:29:99:cc:1d:8f,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,toast - dropped, no longer functional
BAHS,dr6hqff8dfhw,84:29:99:ca:50:8c,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,replaces broken ipad
Drinkwater,DMQGDRBDDFHW,e0:b9:ba:3a:03:ca,2011-09-08,2012/35247,0500-2200-1000-57300-950-003,
Drinkwater,dmqgdpcwdfhw,e0:b9:ba:3a:03:73,2011-09-08,2012/35247,0500-2200-1000-57300-950-003,
Drinkwater,dr6hqccadfhw,84:29:99:cc:18:03,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,
East Belfast,dmpgdtlvdfhw,e0:b9:ba:23:d3:67,2011-09-08,2012/35247,0500-2200-1000-57300-950-003,
FES,dr6hqbxhdfhw,84:29:99:cb:fd:a7,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,
G.Cyr - loaner,dr6hq7jldfhw,84:29:99:cb:d1:a7,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,loaner
not deployed,dr6hq8bndfhw,,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,IT Director's office
SES,dr6hqapcdfhw,84:29:99:cc:05:63,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,
CASS,dr6hq987dfhw,84:29:99:ca:f0:90,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,
not deployed,dr5hqmd8dfhw,,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,IT Director's office
not deployed,dr6hqaaqdfhw,,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,IT Director's office
not deployed,dr6hqdjqdfhw,,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,IT Director's office
not deployed,dr6hqadbdfhw,,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,IT Director's office
SES,dmqgdnj3dfhw,e0:b9:ba:3a:07:0f,2011-09-08,2012/35247,0500-2200-1000-57300-950-003,
SES,dr6hq2fcdfhw,84:29:99:cc:30:8e,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,
SES,dr6hqhuwdfhw,84:29:99:cb:44:1d,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,
SES,dmqgdqp3dfhw,e0:b9:ba:3a:04:42,2011-09-08,2012/35247,0500-2200-1000-57300-950-003,moved from SSES
Spec Serivces Office #1,dr6hqbundfhw,84:29:99:ca:51:b8,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,
SSES,dr6hqe7zdfhw,84:29:99:cb:fc:f6,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,
THMS,dr6hqfwrdfhw,84:29:99:cb:eb:c2,2012-05-24,2012/41570,2470-2100-1000-56100-950-000,
