School/Who has it,serial #,mac address,date of purchase,PO #,account number,notes
Ames,SDMPGCVYTDFHW,e0:b9:ba:19:2e:e4,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Ames,SDMPGC7TXDFHW,E0:B9:BA:0A:83:96,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Ames,SDMPGCZHLDFHW,e0:b9:ba:0a:84:c5,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Ames,SDMPGCNBPDFHW,e0:b9:ba:19:4a:5c,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Ames,SDMPGCU34DFHW,e0:b9:ba:0a:84:02,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Ames,SDMPGCU20DFHW,e0:b9:ba:0a:87:29,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
CASS,SDMPGC8BRDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
CASS,SDMPGCA0UDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
CASS,SDMPGCUT9DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
CASS,SDMPGCW00DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
CASS,SDMPGCU2CDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
CASS,SDMQG95Q2DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
CASS,SDMPGCN69DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
CASS,SDMPGCSMPDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Drinkwater,SDMPGCRBADFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Drinkwater,SDMPGCH4CDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Drinkwater,SDMPGCCN1DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Drinkwater,SDMPGCCSXDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Drinkwater,SDMPGCWYYDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Drinkwater,SDMPGCHXZDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
East Belfast,SDMPGCTK6DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
East Belfast,SDMPGCE2WDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
East Belfast,SDN6GCZSUDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
East Belfast,SDMPGCW15DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
East Belfast,SDN6GCRW2DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
East Belfast,SDMPGC9TKDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
FES,SDMPGC7YUDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
FES,SDMPGCTNXDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
FES,SDMPGCU9PDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
FES,SDN6GCYVRDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
FES,SDMPGCVTCDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
FES,SDMPGCW3DDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
