MLTI Asset#,SN#,Airport MAC,Machine Name,Issue,Number
606059,4592365T9GU,00:25:4b:94:3c:09,Planets1,,
604655,459244K19GU,00:25:4b:94:05:f5,Planets2,,
650303,45926KBG9GU,00:26:08:ef:a6:f4,Planets3,,
607455,459248ED9GU,00:25:4b:98:5c:c7,Planets4,,
653270,45926HJ99GU,00:25:4b:99:1f:4d,Planets5,,
606094,459235N09GU,00:25:4b:94:38:86,Planets6,,
685206,45926GAR9GU,00:26:08:ef:a1:64,Planets7,,
605158,4592360Q9GU,00:25:4b:93:1f:c5,Planets8,,
650076,45926KAX9GU,00:26:08:ef:9f:ca,Planets9,,
607326,4592347K9GU,00:25:4b:94:42:6d,Planets10,,
694972,4592304M9GU,00:25:4b:93:c2:c8,Planets11,,
600195,459231F89GU,00:25:4b:98:53:d6,Planets12,,
653929,459261HN9GU,00:25:4b:9a:f3:51,Planets13,,
650247,45926K499GU,00:26:08:ef:ed:d5,Planets14,,
652523,45926GMV9GU,00:26:08:ef:9e:d5,Planets15,,
650362,45926D0D9GU,00:26:08:ef:b5:65,Planets16,,
650298,45926JYF9GU,00:26:08:fb:00:9d,Planets17,,
600292,459230389GU,00:25:4b:93:d0:13,Planets18,,
606057,4592448Z9GU,00:25:4b:94:3d:b0,Planets19,,
653425,45926B5B9GU,00:25:4b:99:6c:9e,Planets20,,
653399,45926BH59GU,00:25:4b:99:1f:10,City1,,
692578,459244CP9GU,00:25:4b:93:be:5b,City2,,
687902,459231BR9GU,00:25:4b:98:5f:80,City3,,
608054,459245V09GU,00:25:4b:98:4e:60,CIty4,,
691717,45926LF39GU,00:26:08:ef:ea:0c,City5,,
644179,45926GA09GU,00:26:08:ef:94:ad,City6,,
607178,4592348W9GU,00:25:4b:94:47:ad,City7,,
607452,459248A99GU,00:25:4b:98:67:c5,City8,,
653415,45926HJD9GU,00:25:4b:99:3c:ad,City9,,
600260,4592469X9GU,00:25:4b:94:41:6f,City10,,
601338,459247DV9GU,00:25:4b:94:3a:16,City11,,
607234,4592345M9GU,00:25:4b:94:3a:21,City12,,
691781,45926K4L9GU,00:26:08:ef:eb:35,City13,,
687899,45926K7D9GU,00:26:08:ef:a2:95,City14,,
651382,45926EG29GU,00:26:08:ef:a1:cf,City15,,
692225,45926G5K9GU,00:25:4b:9b:a4:e0,City16,,
607315,459248DG9GU,00:25:4b:98:67:94,CIty17,,
650485,45926K6R9GU,00:26:08:ef:9d:89,City18,,
607255,459248AE9GU,00:25:4b:98:54:30,City19,,
653289,45926BK69GU,00:25:4b:9b:1d:dc,City20,,
